13.685,40.71,1016.9,72.7
25.503,60.722,1012.2,58.934
8.0378,38.736,1016.5,93.161
21.511,57.599,1012.4,76.842
8.2367,40.576,1015.9,96.247
25.193,59.952,1012.4,58.661
15.396,44.668,1015.8,75.215
14.847,41.212,1016.9,67.15
17.672,42.225,1017.2,41.299
14.774,42.247,1016.5,71.268
16.302,46.3,1015.4,74.981
18.778,47.807,1015.4,64.062
26.067,72,1008.3,84.392
24.471,59.079,1012.5,61.679
24.582,69.78,1008.8,87.191
19.166,45.142,1016.4,43.003
18.048,43.57,1016.8,48.737
12.229,39.694,1016.9,77.522
19.009,48.229,1015.3,63.945
14.824,38.646,1017.9,55.416
16.83,44.661,1016.1,66.334
12.075,35.96,1018.2,65.686
11.928,41.828,1016.1,84.6
27.467,63.11,1011.7,47.168
22.681,53.655,1014.1,54.734
27.383,70.504,1009.1,74.574
13.909,41.083,1016.8,72.598
8.7804,37.856,1016.9,88.334
6.7591,36.39,1017,92.795
28.698,65.514,1011.1,41.778
26.674,60.943,1012.3,44.321
24.11,58.991,1012.5,64.294
27.775,67.234,1010.3,63.047
27.785,73.46,1008.1,78.612
26.831,61.326,1012.2,44.521
12.863,45.859,1014.9,89.86
24.599,63.63,1010.9,74.493
14.908,49.219,1014.1,88.693
13.014,40.38,1016.9,75.425
19.372,53.506,1013.5,77.965
18.522,51.078,1014.2,76.164
14.066,44.114,1015.7,80.518
11.716,39.791,1016.8,80.335
11.815,43.229,1015.6,88.35
10.63,39.483,1016.7,84.506
26.559,60.539,1012.5,42.749
12.032,39.342,1017,77.51
18.329,46.168,1015.9,60.855
17.659,43.042,1016.9,50.334
10.579,36.672,1017.7,77.077
31.527,72.918,1009.1,43.662
10.808,39.305,1016.8,83.268
31.447,78.075,1007.2,66.198
9.5655,41.589,1015.8,93.534
12.438,41.084,1016.5,80.358
23.722,59.639,1012.2,69.152
26.965,63.71,1011.4,57.167
7.7061,39.711,1016.1,96.37
24.012,61.103,1011.7,71.456
26.224,62.143,1011.8,57.914
22.688,55.548,1013.4,63.086
28.34,65.314,1011.1,47.996
9.9459,41.187,1016,91.253
14.091,47.144,1014.7,87.62
23.951,58.584,1012.6,64.109
28.225,64.503,1011.4,43.365
23.415,60.066,1012,72.321
8.829,38.855,1016.6,90.431
9.825,34.374,1018.4,73.858
29.858,76.204,1007.6,72.504
23.276,66.067,1009.8,86.302
7.2347,39.139,1016.2,96.858
26.293,72.396,1008.2,84.048
28.478,77.006,1007,81.713
13.811,42.218,1016.4,76.609
22.752,61.482,1011.3,79.481
15.216,40.039,1017.4,59.214
24.046,69.861,1008.6,89.626
24.049,64.371,1010.6,79.214
30.682,77.473,1007.3,70.108
29.063,67.666,1010.4,51.564
12.373,42.038,1016.1,83.131
18.118,43.008,1017,40.431
13.432,43.224,1015.9,81.243
