"","Cement..component.1..kg.in.a.m.3.mixture.","Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.","Fly.Ash..component.3..kg.in.a.m.3.mixture.","Water...component.4..kg.in.a.m.3.mixture.","Superplasticizer..component.5..kg.in.a.m.3.mixture.","Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.","Fine.Aggregate..component.7..kg.in.a.m.3.mixture.","Age..day.","Concrete.compressive.strength.MPa..megapascals.."
"1",517.052438552752,9.30430727448393,3.25300077811474,176.444383550417,0.814431758813328,1028.34147379008,681.361450023124,40.5910590641128,24.9139311022203
"2",520.623693403583,6.35273224444151,1.30089829759116,174.313445070958,-0.598025235711027,1043.40220754692,679.583200852526,37.6298279326086,18.1023792113403
"3",334.540001927657,147.383790509337,1.79677423507148,227.813555876376,0.0622968188935147,933.881735679615,590.605711449354,275.908021374077,61.372128804514
"4",331.71163400952,140.419837965238,-0.60347613339195,230.792095870065,-7.68408392375694,931.162750365129,595.63920232351,360.477350118692,33.3316340152881
"5",185.168507925901,109.614587795916,-25.5333008167114,211.628862364775,-7.86287403805252,962.850511506518,810.739432946649,347.569279553905,20.5434727949012
"6",277.44085072294,136.740541364614,23.5309815316852,207.129918648991,11.6532334807545,946.679052303102,681.18078295087,98.2667419673276,84.8836792710313
"7",380.189423898555,97.1812394123322,3.80284340103456,228.296383894834,-7.36774133671256,933.557320675759,599.15089929874,359.989643165239,34.6101543334116
"8",398.805471528893,124.963626469572,34.6416721640956,198.141835963132,8.52492258849657,952.10520552882,613.027974285784,43.5232566201892,61.6978111446219
"9",284.309115187639,143.144340218171,33.1652609827353,198.143715336845,11.7824427533815,951.493569418456,687.397795700179,42.1291852851397,73.9474306955534
"10",488.62114075619,45.4846238810382,47.1221271991763,189.870644650458,4.94834253272919,957.922412793608,627.265340553513,56.2217155983558,42.2554355900243
"11",190.167115422419,131.242615670855,-5.57989005355985,189.203398685538,7.5834872809198,978.413734292234,828.036568118575,86.0865925670821,56.217184527556
"12",198.638581099684,139.002455326028,5.252310280383,180.115622806136,7.58523242704376,983.130210922093,830.875399158259,28.3119930265713,44.3258433578908
"13",435.211976662204,58.9797416601097,13.3966068001062,220.480044392445,-0.895267674259294,939.843460673008,601.253179482719,275.353030596811,54.5863937992116
"14",202.23823443563,209.381382787874,22.1518762272735,206.127785863742,7.32608263250845,944.909276919458,681.513804205117,99.8536611018425,60.5932467900972
"15",323.941120280961,107.326136650117,35.8251358151969,196.948831666242,12.466844746166,953.078068993722,688.905415877522,43.1558338742634,77.8319448392477
"16",399.666886674483,30.8987791036028,35.3740144972389,200.198028828828,10.7512574476585,952.760534179988,689.051723319654,105.017630998164,80.0403402567602
"17",133.585511285779,193.340927731388,-15.6214898407284,186.309596766706,-0.170354023940092,1034.81882133219,794.858503812467,86.5922890499905,20.830603234965
"18",345.938595587642,46.1261899437577,8.77236245266215,224.891014900773,-3.7842875780522,936.502904495732,675.938617879857,361.52731272077,48.8810188572703
"19",395.777971869448,117.706674284674,25.0817570343839,207.095847547513,8.32816330340685,947.211199493264,604.693238965401,99.4447696699965,72.3708604598401
"20",486.172266320651,26.6812186876785,28.7852457488621,207.4447182143,1.77491685518766,948.199585403177,612.759550848612,190.547629408325,51.9486999964305
"21",441.205275935785,65.0853562219526,20.5744693562148,213.368363997993,4.2622020162235,944.431735199254,603.206042381717,189.134701919263,66.8605036390178
"22",142.110261406879,199.609401833719,-5.43703906701785,177.842416127181,0.0252507927458936,1038.36226129832,798.402368476383,32.0667103923045,10.5697216557145
"23",142.930594178901,205.28449403225,-0.659992790093312,172.871473132589,-0.95954319674766,1042.49055963809,801.997534371806,8.51884005572401,0.159900523083365
"24",124.916715947774,185.461371798679,-27.030341892935,196.344188461097,-2.81892360841704,1030.06177850781,790.341557238722,170.42356978217,22.89397979856
"25",384.693879430881,14.7031957630652,14.0690277768508,221.295095982418,-4.78457650739015,939.263791136557,679.294122512066,360.271103841117,42.518748375797
"26",390.242449271189,14.6401460766613,17.3850329133272,217.711041519649,2.84155644002112,942.362795816539,679.425169814976,277.688114529899,69.8065537072517
"27",386.047893961802,101.683389611709,6.50375968836723,225.153796805224,0.210381550674484,936.474546775862,594.132902684508,276.64846569473,61.924635234718
"28",354.407432683892,53.5151777817891,19.0754302035802,214.298534969642,9.41227599187027,944.30192317618,678.837763969145,189.905045608513,90.1944238485474
"29",446.057912521355,83.0894528014562,40.4284350705025,194.460469895106,7.26602924389853,954.923745430569,619.062933548588,48.7931998802953,54.88332066496
"30",488.225936168957,48.7274431822973,50.0174472695482,187.125238195246,4.90286829223047,959.351951454274,630.055356327773,39.6439234848465,38.4713933724606
"31",306.752308721478,79.7029446400884,4.74810164435127,227.34077084126,-3.67377792283792,934.362334735256,673.386790685497,362.309414110322,49.9943022534457
"32",267.943089830312,114.772795846098,2.13561597479739,228.520947261712,-4.35788678722563,932.819372826802,671.884633336341,361.46536554717,46.1457513679665
"33",181.240139159387,121.932201606592,-17.8510659550261,200.02785553759,4.91031733632197,972.576232791085,824.039519970616,175.820447520053,59.225005992821
"34",480.267492166668,21.2505532666621,21.7980231637278,214.350925236439,-3.14267515148167,943.816887455635,610.407917769125,273.168543864018,40.3735551988878
"35",197.704223151565,183.323346764328,1.34971732690883,227.010758188758,-7.4640493807216,931.397751042087,672.586756753019,351.914690993718,26.5854163062094
"36",237.965131503228,236.350925027139,0.164532496971404,226.409033977188,-4.08465652789474,931.795615569256,594.6912225123,269.166925650345,36.1892628537149
"37",255.21275104656,255.037235105664,27.5375026982697,200.291451062625,4.02198169756858,947.167856622564,612.191898547491,44.2880889610855,36.5215341046667
"38",344.871119312262,163.508022633993,20.6192798537597,209.539755268224,8.19563732258001,944.825341754344,600.930822472556,97.1025033509082,71.613295789721
"39",488.489225386082,36.6735093320754,38.8535541694124,197.731595508549,4.47973706201569,953.676819411379,620.104286266285,108.625401630901,50.5682571186062
"40",240.568717279707,245.605618852154,7.08772318027123,219.432585013429,0.925496291976671,936.253834510089,596.370582724805,183.671841574486,47.7978211993698
"41",359.885280067698,63.86746405908,30.3451324300751,203.503174136878,12.0226272974088,950.417031198149,685.416484649514,101.605044828476,87.0701268433374
"42",427.18567166545,56.8168165935693,10.2460677582959,223.940214446082,-8.21117898520225,936.820793861061,605.208537507356,357.248911526416,28.5891503298625
"43",240.08378120994,225.131983829559,-2.33268525145476,229.58183494095,-11.1603487339127,929.192225608641,598.864494433309,350.80870324103,11.4717252711951
"44",395.374936908767,20.1028517937937,24.6230768129707,210.546915411044,8.11491050712742,946.960407437282,682.720348732353,191.031438700329,82.5415189097025
"45",444.487158650118,74.8392669760004,31.3842734995806,202.987576179188,6.97769700748799,950.275976858236,611.272844998641,103.405830550402,64.7217971070669
"46",446.519412159983,86.089316924944,43.7107516282996,191.389766267585,7.08944565405525,956.585708768079,621.985488433971,31.3881366415026,50.1742178485298
"47",354.297945113267,5.67929684857722,8.21800389347356,168.292982682105,5.82914706005496,1055.41158976183,813.01028517925,4.24214450829635,37.5481941988266
"48",391.288026452277,108.628486456815,13.7273148173221,217.949205176926,5.60741047350942,941.097235288462,596.092957824057,187.653384954191,75.0203511812888
"49",257.779748260835,256.463822791493,31.0398535155057,197.086128033509,3.82191023074705,948.99831207476,615.009424193081,26.7668423761381,31.6613624691728
"50",400.018812258552,127.692246318098,38.1894206889588,194.85246170488,8.26638483203537,953.937911439501,615.98108420653,25.5266224793992,56.4003683856233
"51",338.982013524708,155.14827389073,8.9886015561509,220.605657330894,5.50842099705055,938.498722513564,592.480044524311,186.164281623362,74.6104817786298
"52",194.301772602618,201.643160299818,11.0403573829898,216.670868222879,4.74096427445153,938.749745531999,675.225214939588,185.576642255925,63.3267047154687
"53",247.944716675141,252.192570015337,18.1837272858124,208.923038055289,3.60095361214388,942.361653239865,604.064277513663,98.4597959856136,45.5596313480759
"54",318.544299986296,99.5824346141852,26.2852331721611,205.893916328403,12.3645958149103,948.312194073686,682.754536079596,99.3484568054257,88.9233187837357
"55",143.494034000746,203.661843153078,-1.50982495435301,173.986096949956,-0.61649844182628,1041.20291363202,800.926234294484,12.8744686512149,2.96940997700079
"56",200.387138622608,142.971705996226,9.44690571255576,176.061315925863,6.9701483751209,985.848470447572,833.685917054452,7.86571320543524,36.5795252606503
"57",470.728369944008,20.7165196914591,18.1811962435096,218.148716186454,-9.99530176122738,940.678018835641,613.333996813243,352.427604195734,16.6020114172403
"58",200.267498354003,144.14577981802,10.3535904756878,175.002544860885,6.72236205754062,986.728772829137,834.850233665069,3.34384859898807,34.2275502172849
"59",312.076447761161,89.8460574456547,14.7468546820899,216.911162180039,9.75000600312654,942.055208078257,676.010946488083,188.753805313621,92.2589890066191
